[-1,73,54];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,7,66];[-1,7,67];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,51];[-1,73,55];
[-1,73,35];[-1,73];[-1,73];[-1,73,97];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73,64];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,65];[-1,73,1];[-1,73,64];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,30];
[-1,73,35];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,86];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,77];[-1,73];[-1,73,30];
[-1,73,35];[-1,73,86];[-1,73];[-1,73];[-1,73,39];[-1,73];[-1,73,97];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73,39];[-1,73];[-1,73];[-1,73];[-1,73,30];
[-1,73,35];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,79,97];[-1,73];[-1,73,30];
[-1,73,35];[-1,73];[-1,73];[-1,73,86];[-1,73];[-1,73,86];[-1,73];[-1,73,86];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,68];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73,99];[-1,73];[-1,73];[-1,73];[-1,73,30];
[-1,73,35];[-1,73];[-1,73];[-1,73];[-1,73,100];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,8,13,100];[-1,8,13,86];[-1,8,7,13,86];[-1,8,7,13,86];[-1,8,7,13,86];[-1,13,86];[-1,13,100];[-1,73,30];
[-1,73,35];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,86];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73,68];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,30];
[-1,73,35];[-1,73,86];[-1,73];[-1,73,77];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73,77];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,30];
[-1,73,35];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,89];[-1,73];[-1,73,30];
[-1,73,35];[-1,73,2];[-1,73,2];[-1,73,2];[-1,73,2];[-1,73,2];[-1,73,2];[-1,73,2];[-1,73,2];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,68];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73,2];[-1,73,2];[-1,73,2];[-1,73,2];[-1,73,2];[-1,73,2];[-1,73,2];[-1,73,30];
[-1,73,35];[-1,73,64];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,30];
[-1,73,35];[-1,73,100];[-1,73];[-1,73];[-1,73,86];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73,68];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73,89];[-1,73];[-1,73,100];[-1,73];[-1,73];[-1,73];[-1,73,30];
[-1,73,35];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,86];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,68];[-1,73];[-1,73];[-1,73,30];
[-1,73,35];[-1,73];[-1,73];[-1,73,86];[-1,73,100];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73,99];[-1,73];[-1,73];[-1,73];[-1,73,30];
[-1,73,35];[-1,73];[-1,73];[-1,73];[-1,73];[-1,79,89];[-1,73];[-1,73,77];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,39];[-1,73];[-1,73,39];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73,100];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,30];
[-1,73,35];[-1,73];[-1,73];[-1,73];[-1,73,39];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,39];[-1,73];[-1,73];[-1,73,30];
[-1,73,35];[-1,73];[-1,73,86];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,86];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,1];[-1,73];[-1,73];[-1,73,68];[-1,73];[-1,73];[-1,73];[-1,73];[-1,73,30];
