[-1,6,50];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,66];[-1,6,67];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,52];[-1,6,53];
[-1,6,35];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6,1];[-1,6,100];[-1,6,86];[-1,6,1];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6,99];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6,30];
[-1,6,35];[-1,6];[-1,6,77];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6,1];[-1,6,100];[-1,6,39];[-1,1];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6,77];[-1,6,100];[-1,6,97];[-1,6,97];[-1,6,97];[-1,6];[-1,6];[-1,6];[-1,6,30];
[-1,6,35];[-1,6];[-1,6,100];[-1,6];[-1,6,89];[-1,6,89];[-1,6,89];[-1,6];[-1,6,77];[-1,6];[-1,6];[-1,6];[-1,6,1];[-1,6,1];[-1,6,1];[-1,1];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6,99];[-1,6,97];[-1,6,39];[-1,6,97];[-1,6,99];[-1,6];[-1,6,64];[-1,6,30];
[-1,6,35];[-1,6];[-1,6];[-1,6];[-1,6,89];[-1,6,39];[-1,6,89];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6,68];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6,97];[-1,6,97];[-1,6,97];[-1,6];[-1,6];[-1,6];[-1,6,30];
[-1,6,35];[-1,6];[-1,6];[-1,6];[-1,6,89];[-1,6,89];[-1,6,89];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6,86];[-1,6,86];[-1,6];[-1,6,100];[-1,6];[-1,6];[-1,6,68];[-1,6];[-1,6];[-1,6];[-1,6,99];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6,30];
[-1,6,35];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6,59];[-1,6];[-1,6];[-1,6];[-1,6,86];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6,68];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6,77];[-1,6];[-1,6,30];
[-1,6,35];[-1,6,64];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6,68];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6,86];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6,30];
[-1,6,35];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6,86];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6];[-1,72];[-1,72];[-1,72];[-1,6];[-1,6];[-1,6];[-1,6];[-1,6,30];
[-1,6,35];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,6,86];[-1,6,86];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,6,30];
[-1,6,35];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,1];[-1,6,30];
